,GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID,month,year,dayofyear
962,202111703,2022-01-02 13:00:00,1,2021,17,BAL,LAR,HOME,19,20,39,M&T Bank Stadium,7,6,3,3,0,33,39,33:39,19,10,9,0,69,327,4.7,1,32,165,5.2,0,32,20,162,0,1,5.1,8.1,62.5,62.24,14,4,28.6,3,3,100.0,2,0,0,0,4,24,1,1,5,35,4,2,3,139,46.3,2,3,1,0,7,0,13,0,26,21,26:21,20,6,14,0,56,373,6.7,3,20,73,3.6,1,35,26,300,2,2,8.6,11.5,74.3,94.94,9,3,33.3,1,1,100.0,4,3,0,0,4,35,1,1,1,9,7,7,2,92,46.0,3,2,-1,0.0,0,75.0,0,1,1,0,0,0,0,0,4,4,2,2,0,2,0,0,0,1,0,40,17,1,9,3,1,1,51,22,5,35,3,1,1,Sunday,993002928,3,32,17935,1,2022,2
963,202111704,2022-01-02 13:00:00,1,2021,17,BUF,ATL,HOME,29,15,44,Highmark Stadium,14,0,8,7,0,36,7,36:07,28,19,8,1,71,351,4.9,4,44,233,5.3,4,26,11,118,0,3,4.5,10.7,42.3,16.67,12,7,58.3,1,1,100.0,5,4,0,0,7,47,0,0,1,2,0,0,0,0,0.0,3,1,-2,2,13,0,0,0,23,53,23:53,18,7,9,2,50,265,5.3,1,22,96,4.4,1,23,13,169,0,0,7.3,13.0,56.5,79.8,7,1,14.3,1,0,0.0,4,1,0,0,4,27,1,1,5,28,0,0,4,0,0.0,1,3,2,80.0,0,25.0,0,3,3,0,2,1,0,0,0,0,1,1,0,0,0,0,0,2,2,34,18,5,28,3,1,1,41,29,1,2,6,1,0,Sunday,993002932,4,2,17922,1,2022,2
964,202111722,2022-01-02 16:25:00,1,2021,17,CAR,NO,AWAY,10,18,28,Caesars Superdome,3,7,0,0,0,30,31,30:31,16,7,8,1,59,178,3.0,1,26,88,3.4,1,26,17,90,0,1,3.5,5.3,65.4,54.97,14,6,42.9,0,0,0.0,1,0,0,0,1,5,1,1,7,42,6,9,5,235,47.0,2,0,-2,3,6,3,6,0,29,29,29:29,15,4,10,1,58,280,4.8,1,28,73,2.6,0,28,17,207,1,0,7.4,12.2,60.7,95.39,13,5,38.5,0,0,0.0,3,1,0,0,5,33,0,0,2,15,8,10,5,215,43.0,0,2,2,0.0,0,33.3,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4,4,43,25,2,15,1,0,0,39,26,7,42,3,1,1,Sunday,993002943,5,22,17929,1,2022,2
965,202111706,2022-01-02 13:00:00,1,2021,17,CHI,NYG,HOME,29,3,32,Soldier Field,14,8,7,0,0,30,8,30:08,17,6,10,1,65,249,3.8,3,27,87,3.2,2,36,18,162,1,2,4.5,9.0,50.0,48.61,16,6,37.5,3,2,66.7,5,3,0,0,5,35,0,0,2,11,5,6,5,227,45.4,2,4,2,0,3,0,0,0,29,52,29:52,13,9,2,2,55,155,2.8,0,40,161,4.0,0,11,4,-6,0,2,-0.5,-1.5,36.4,5.3,11,1,9.1,1,0,0.0,0,0,0,0,3,26,2,2,4,30,5,4,4,156,39.0,4,2,-2,60.0,0,0.0,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,47,19,4,30,5,3,2,36,32,2,11,7,0,0,Sunday,993002934,6,23,17923,1,2022,2
966,202111707,2022-01-02 13:00:00,1,2021,17,CIN,KC,HOME,34,31,65,Paycor Stadium,7,10,7,10,0,29,6,29:06,23,5,12,6,63,475,7.5,4,19,60,3.2,0,40,30,415,4,0,10.4,13.8,75.0,141.15,10,4,40.0,1,1,100.0,3,2,0,0,5,62,0,0,4,31,4,1,3,118,39.3,0,0,0,14,14,0,3,0,30,54,30:54,23,11,11,1,58,414,7.1,4,23,155,6.7,2,35,26,259,2,0,7.4,10.0,74.3,113.87,11,6,54.5,1,1,100.0,4,3,0,0,10,83,0,0,0,0,10,4,3,108,36.0,0,0,0,66.7,0,75.0,0,4,4,0,0,0,0,0,2,2,4,4,0,0,0,0,0,1,1,39,25,0,0,5,0,0,40,20,4,31,3,0,0,Sunday,993002936,7,16,17924,1,2022,2
967,202111728,2022-01-03 20:15:00,1,2021,17,CLE,PIT,AWAY,14,26,40,Acrisure Stadium,0,0,7,7,0,25,5,25:05,15,5,8,2,67,232,3.5,2,20,93,4.6,0,38,16,139,2,2,3.7,8.7,42.1,48.03,17,5,29.4,3,1,33.3,2,2,0,0,10,77,0,0,9,46,4,4,8,342,42.8,2,1,-1,0,10,3,13,0,34,55,34:55,20,8,10,2,79,299,3.8,2,31,190,6.1,1,46,24,109,1,1,2.4,4.5,52.2,56.25,18,5,27.8,2,1,50.0,3,1,0,0,5,51,0,0,2,14,11,10,5,244,48.8,1,2,1,100.0,0,33.3,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,4,49,35,2,14,9,1,0,46,21,9,46,11,0,0,Monday,993002949,8,28,17937,1,2022,3
968,202111709,2022-01-02 16:25:00,1,2021,17,DAL,ARI,HOME,22,25,47,AT&T Stadium,0,7,0,15,0,25,18,25:18,19,2,15,2,57,301,5.3,3,17,45,2.6,0,39,25,256,3,0,6.6,10.2,64.1,108.49,11,3,27.3,3,3,100.0,2,2,0,0,10,88,1,1,1,1,4,4,4,195,48.8,1,0,-1,3,10,9,3,0,34,42,34:42,23,9,12,2,72,399,5.5,2,32,127,4.0,0,39,27,272,2,0,7.0,10.1,69.2,105.93,16,7,43.8,2,2,100.0,4,2,0,0,7,45,0,0,1,14,6,4,3,121,40.3,0,1,1,100.0,0,50.0,0,2,2,0,2,1,0,0,1,0,1,1,0,2,0,0,0,4,4,47,20,1,14,4,0,0,39,17,1,1,6,2,1,Sunday,993002946,9,1,17925,1,2022,2
969,202111729,2022-01-02 16:05:00,1,2021,17,DEN,LAC,AWAY,13,34,47,SoFi Stadium,0,3,0,10,0,29,44,29:44,18,5,11,2,56,319,5.7,1,27,83,3.1,0,28,19,236,1,0,8.4,12.4,67.9,105.65,11,3,27.3,4,1,25.0,3,1,0,0,3,23,1,1,1,10,3,4,3,137,45.7,1,0,-1,7,10,3,14,0,30,16,30:16,21,7,13,1,66,341,5.2,4,35,104,3.0,1,31,22,237,2,0,7.6,10.8,71.0,114.58,15,9,60.0,1,1,100.0,4,2,0,0,3,22,0,0,0,0,3,5,3,115,38.3,0,1,1,33.3,0,50.0,0,1,1,0,0,0,0,0,2,2,4,4,0,0,0,0,0,2,2,46,33,0,0,3,0,0,36,33,1,10,1,0,1,Sunday,993002939,10,29,17932,1,2022,2
970,202111730,2022-01-02 16:25:00,1,2021,17,DET,SEA,AWAY,29,51,80,Lumen Field,0,7,15,7,0,26,27,26:27,20,5,12,3,59,357,6.1,4,22,95,4.3,2,37,22,262,2,3,7.1,11.9,59.5,65.37,10,5,50.0,2,1,50.0,3,3,0,0,4,30,0,0,0,0,3,4,3,132,44.0,3,0,-3,10,21,7,13,0,33,33,33:33,29,15,13,1,71,497,7.0,6,41,265,6.5,2,29,20,232,4,0,8.0,11.6,69.0,132.47,12,7,58.3,1,1,100.0,8,6,0,0,5,31,0,0,1,4,5,3,1,45,45.0,0,3,3,100.0,0,75.0,0,3,3,0,2,1,0,0,1,0,6,6,0,0,0,0,0,3,3,46,34,1,4,1,0,0,36,22,0,0,9,0,0,Sunday,993002941,11,30,17934,1,2022,2
971,202111712,2022-01-02 20:20:00,1,2021,17,GB,MIN,HOME,37,10,47,Lambeau Field,3,17,10,7,0,38,33,38:33,29,11,17,1,74,481,6.5,4,32,174,5.4,2,42,31,307,2,0,7.3,9.9,73.8,109.92,13,7,53.8,1,0,0.0,7,3,0,0,1,5,0,0,0,0,5,6,2,63,31.5,0,0,0,0,3,7,0,0,21,27,21:27,11,2,8,1,52,206,4.0,1,11,27,2.5,0,39,24,179,1,0,4.6,7.5,61.5,81.04,12,2,16.7,4,1,25.0,1,1,0,0,3,23,0,0,2,15,3,2,6,296,49.3,0,0,0,42.9,0,100.0,0,4,4,0,0,0,0,0,3,3,1,1,0,0,0,0,0,1,1,36,11,2,15,5,0,0,54,26,0,0,1,0,0,Sunday,993002948,12,20,17936,1,2022,2
